age,income,employment_status,loan_amount,debt,savings,credit_history,payment_history,existing_loans,loan_duration_months,debt_to_income_ratio,loan_to_income_ratio,creditworthy,credit_status
36,18136.8,1 to 4 years,1374.0,251.9,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.1667,0.0758,1,Good Credit
39,4341.79,7 or more years,426.0,99.4,less than 100 DM,no credits taken or all paid back duly,no prior payment record,1,6,0.2747,0.0981,1,Good Credit
42,3721.9,1 to 4 years,409.0,88.62,1000 DM or more,all credits at this bank paid back duly,paid previous credits,2,12,0.2857,0.1099,1,Good Credit
34,18837.0,1 to 4 years,2415.0,448.5,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,7,0.2857,0.1282,1,Good Credit
63,16173.98,7 or more years,6836.0,296.23,less than 100 DM,delay in paying off in the past,past payment delay,2,60,0.2198,0.4227,0,Bad Credit
36,5222.49,less than 1 year,1913.0,138.16,1000 DM or more,existing credits paid back duly till now,paid current credits on time,1,18,0.3175,0.3663,1,Good Credit
27,10854.0,1 to 4 years,4020.0,201.0,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2222,0.3704,1,Good Credit
30,42235.2,1 to 4 years,5866.0,782.13,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,2,18,0.2222,0.1389,1,Good Credit
57,6441.34,7 or more years,1264.0,147.47,unknown or no savings account,critical account or other credits existing,critical account history,1,12,0.2747,0.1962,1,Good Credit
33,5200.27,less than 1 year,1474.0,171.97,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3968,0.2834,1,Good Credit
25,8930.07,less than 1 year,4746.0,295.31,less than 100 DM,critical account or other credits existing,critical account history,2,45,0.3968,0.5315,0,Bad Credit
31,10081.5,1 to 4 years,6110.0,140.02,less than 100 DM,critical account or other credits existing,critical account history,1,48,0.1667,0.6061,1,Good Credit
37,5488.0,1 to 4 years,2100.0,163.33,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.3571,0.3827,0,Bad Credit
37,7938.0,1 to 4 years,1225.0,147.0,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,10,0.2222,0.1543,1,Good Credit
24,2393.81,1 to 4 years,458.0,71.24,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,9,0.3571,0.1913,1,Good Credit
30,4755.59,7 or more years,2333.0,108.87,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,30,0.2747,0.4906,1,Good Credit
26,5268.9,1 to 4 years,1158.0,125.45,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2857,0.2198,1,Good Credit
44,22334.4,1 to 4 years,6204.0,413.6,less than 100 DM,delay in paying off in the past,past payment delay,1,18,0.2222,0.2778,1,Good Credit
24,37567.46,4 to 7 years,6187.0,453.71,100 to 500 DM,critical account or other credits existing,critical account history,2,30,0.1449,0.1647,1,Good Credit
58,15652.36,7 or more years,6143.0,358.34,less than 100 DM,critical account or other credits existing,critical account history,2,48,0.2747,0.3925,0,Bad Credit
35,10722.55,less than 1 year,1393.0,354.58,less than 100 DM,critical account or other credits existing,critical account history,2,11,0.3968,0.1299,1,Good Credit
39,3905.23,7 or more years,2299.0,89.41,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.2747,0.5887,1,Good Credit
23,13384.8,unemployed,1352.0,247.87,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.2222,0.101,1,Good Credit
39,104083.2,1 to 4 years,7228.0,1445.6,less than 100 DM,critical account or other credits existing,critical account history,2,11,0.1667,0.0694,1,Good Credit
28,8126.16,1 to 4 years,2073.0,241.85,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3571,0.2551,1,Good Credit
29,4115.41,less than 1 year,2333.0,136.09,unknown or no savings account,delay in paying off in the past,past payment delay,1,24,0.3968,0.5669,1,Good Credit
30,45493.07,7 or more years,5965.0,486.04,less than 100 DM,delay in paying off in the past,past payment delay,2,27,0.1282,0.1311,1,Good Credit
25,5742.1,1 to 4 years,1262.0,136.72,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2857,0.2198,1,Good Credit
31,12160.8,1 to 4 years,3378.0,225.2,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,18,0.2222,0.2778,1,Good Credit
57,7559.07,7 or more years,2225.0,173.06,less than 100 DM,delay in paying off in the past,past payment delay,2,36,0.2747,0.2943,0,Bad Credit
26,10335.6,1 to 4 years,783.0,143.55,unknown or no savings account,all credits at this bank paid back duly,paid previous credits,1,6,0.1667,0.0758,1,Good Credit
52,26195.4,unemployed,6468.0,646.8,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,12,0.2963,0.2469,0,Bad Credit
31,34437.6,1 to 4 years,9566.0,637.73,less than 100 DM,critical account or other credits existing,critical account history,2,36,0.2222,0.2778,1,Good Credit
23,7732.88,7 or more years,1961.0,141.63,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.2198,0.2536,1,Good Credit
23,14650.61,less than 1 year,6229.0,484.48,less than 100 DM,critical account or other credits existing,critical account history,2,36,0.3968,0.4252,0,Bad Credit
27,10015.2,1 to 4 years,1391.0,185.47,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,9,0.2222,0.1389,1,Good Credit
50,12532.08,7 or more years,1537.0,286.91,unknown or no savings account,critical account or other credits existing,critical account history,2,15,0.2747,0.1226,1,Good Credit
61,3317.5,7 or more years,1953.0,75.95,less than 100 DM,no credits taken or all paid back duly,no prior payment record,1,36,0.2747,0.5887,0,Bad Credit
25,19468.35,1 to 4 years,14421.0,360.52,less than 100 DM,no credits taken or all paid back duly,no prior payment record,1,48,0.2222,0.7407,0,Bad Credit
26,5611.28,less than 1 year,3181.0,185.56,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.3968,0.5669,1,Good Credit
48,47019.09,7 or more years,5190.0,1076.44,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,4,27,0.2747,0.1104,1,Good Credit
29,10551.06,less than 1 year,2171.0,217.1,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2469,0.2058,1,Good Credit
22,3947.44,1 to 4 years,1007.0,117.48,1000 DM or more,existing credits paid back duly till now,paid current credits on time,1,12,0.3571,0.2551,1,Good Credit
37,2376.83,1 to 4 years,1819.0,70.74,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.3571,0.7653,0,Bad Credit
25,3128.16,1 to 4 years,2394.0,93.1,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,36,0.3571,0.7653,1,Good Credit
30,17892.6,1 to 4 years,8133.0,248.51,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.1667,0.4545,1,Good Credit
46,12754.56,7 or more years,730.0,292.0,unknown or no savings account,critical account or other credits existing,critical account history,2,7,0.2747,0.0572,1,Good Credit
51,20655.18,7 or more years,1164.0,378.3,less than 100 DM,critical account or other credits existing,critical account history,2,8,0.2198,0.0564,1,Good Credit
41,21128.19,4 to 7 years,5954.0,340.23,less than 100 DM,critical account or other credits existing,critical account history,2,42,0.1932,0.2818,1,Good Credit
40,3358.26,7 or more years,1977.0,76.88,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,36,0.2747,0.5887,0,Bad Credit
66,15552.99,7 or more years,1526.0,356.07,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.2747,0.0981,1,Good Credit
34,3996.72,less than 1 year,3965.0,132.17,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,42,0.3968,0.9921,0,Bad Credit
51,32321.36,4 to 7 years,4771.0,520.47,less than 100 DM,delay in paying off in the past,past payment delay,1,11,0.1932,0.1476,1,Good Credit
39,11323.2,1 to 4 years,9436.0,209.69,unknown or no savings account,no credits taken or all paid back duly,no prior payment record,1,54,0.2222,0.8333,1,Good Credit
22,7449.41,less than 1 year,3832.0,153.28,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,30,0.2469,0.5144,1,Good Credit
44,35301.42,less than 1 year,5943.0,544.78,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,2,24,0.1852,0.1684,0,Bad Credit
47,4945.16,7 or more years,1213.0,113.21,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,15,0.2747,0.2453,1,Good Credit
24,4756.27,1 to 4 years,1568.0,113.24,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.2857,0.3297,1,Good Credit
58,4471.74,7 or more years,1755.0,102.38,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2747,0.3925,1,Good Credit
52,16431.87,7 or more years,2315.0,300.95,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,10,0.2198,0.1409,1,Good Credit
29,11070.08,1 to 4 years,1412.0,329.47,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.3571,0.1276,1,Good Credit
27,6091.68,less than 1 year,1295.0,201.44,less than 100 DM,critical account or other credits existing,critical account history,2,18,0.3968,0.2126,1,Good Credit
47,27746.4,1 to 4 years,12612.0,385.37,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.1667,0.4545,0,Bad Credit
30,6758.99,4 to 7 years,2249.0,174.92,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.3106,0.3327,1,Good Credit
28,9989.73,4 to 7 years,1108.0,258.53,less than 100 DM,no credits taken or all paid back duly,no prior payment record,2,12,0.3106,0.1109,0,Bad Credit
56,3149.33,7 or more years,618.0,72.1,less than 100 DM,critical account or other credits existing,critical account history,1,12,0.2747,0.1962,1,Good Credit
54,7180.26,7 or more years,1409.0,164.38,less than 100 DM,critical account or other credits existing,critical account history,1,12,0.2747,0.1962,1,Good Credit
33,4061.51,7 or more years,797.0,92.98,unknown or no savings account,critical account or other credits existing,critical account history,1,12,0.2747,0.1962,0,Bad Credit
20,18432.23,7 or more years,3617.0,421.98,unknown or no savings account,critical account or other credits existing,critical account history,2,24,0.2747,0.1962,1,Good Credit
54,6716.53,7 or more years,1318.0,153.77,1000 DM or more,existing credits paid back duly till now,paid current credits on time,1,12,0.2747,0.1962,1,Good Credit
58,14509.95,less than 1 year,15945.0,383.86,less than 100 DM,no credits taken or all paid back duly,no prior payment record,1,54,0.3175,1.0989,0,Bad Credit
61,9070.1,4 to 7 years,2012.0,234.73,unknown or no savings account,critical account or other credits existing,critical account history,1,12,0.3106,0.2218,1,Good Credit
34,6852.16,1 to 4 years,2622.0,203.93,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.3571,0.3827,1,Good Credit
36,3969.78,7 or more years,2337.0,90.88,less than 100 DM,critical account or other credits existing,critical account history,1,36,0.2747,0.5887,1,Good Credit
36,44310.9,4 to 7 years,7057.0,917.41,unknown or no savings account,delay in paying off in the past,past payment delay,2,20,0.2484,0.1593,1,Good Credit
41,3743.01,7 or more years,1469.0,85.69,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.2747,0.3925,1,Good Credit
24,3490.69,4 to 7 years,2323.0,90.34,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.3106,0.6655,1,Good Credit
24,8481.2,1 to 4 years,932.0,201.93,less than 100 DM,delay in paying off in the past,past payment delay,1,6,0.2857,0.1099,1,Good Credit
35,11534.47,4 to 7 years,1919.0,298.51,less than 100 DM,critical account or other credits existing,critical account history,1,9,0.3106,0.1664,1,Good Credit
26,11882.7,less than 1 year,2445.0,244.5,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,12,0.2469,0.2058,1,Good Credit
39,64465.2,1 to 4 years,11938.0,1193.8,less than 100 DM,critical account or other credits existing,critical account history,2,24,0.2222,0.1852,0,Bad Credit
39,60446.88,7 or more years,6458.0,861.07,less than 100 DM,all credits at this bank paid back duly,paid previous credits,2,18,0.1709,0.1068,0,Bad Credit
32,37744.38,4 to 7 years,6078.0,607.8,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.1932,0.161,1,Good Credit
30,22931.37,less than 1 year,7721.0,353.88,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,24,0.1852,0.3367,1,Good Credit
35,10369.54,7 or more years,1410.0,110.79,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,14,0.1282,0.136,1,Good Credit
31,49729.68,7 or more years,1449.0,531.3,100 to 500 DM,delay in paying off in the past,past payment delay,2,6,0.1282,0.0291,1,Good Credit
23,1106.38,less than 1 year,392.0,36.59,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,15,0.3969,0.3543,1,Good Credit
28,21836.97,4 to 7 years,6260.0,452.11,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.2484,0.2867,1,Good Credit
25,20527.73,1 to 4 years,7855.0,610.94,less than 100 DM,critical account or other credits existing,critical account history,2,36,0.3571,0.3827,0,Bad Credit
35,9937.2,7 or more years,1680.0,182.0,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2198,0.1691,1,Good Credit
47,4558.37,7 or more years,3578.0,104.36,unknown or no savings account,critical account or other credits existing,critical account history,1,48,0.2747,0.7849,1,Good Credit
30,9240.11,4 to 7 years,7174.0,239.13,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,42,0.3106,0.7764,0,Bad Credit
27,24867.65,less than 1 year,2132.0,511.68,unknown or no savings account,critical account or other credits existing,critical account history,2,10,0.2469,0.0857,1,Good Credit
23,20548.8,1 to 4 years,4281.0,285.4,500 to 1000 DM,critical account or other credits existing,critical account history,2,33,0.1667,0.2083,0,Bad Credit
36,12380.09,4 to 7 years,2366.0,256.32,500 to 1000 DM,critical account or other credits existing,critical account history,1,12,0.2485,0.1911,1,Good Credit
25,9542.0,1 to 4 years,1835.0,227.19,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,21,0.2857,0.1923,0,Bad Credit
41,19711.33,7 or more years,3868.0,451.27,less than 100 DM,critical account or other credits existing,critical account history,2,24,0.2747,0.1962,1,Good Credit
24,8044.4,1 to 4 years,1768.0,191.53,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2857,0.2198,1,Good Credit
63,9551.94,7 or more years,781.0,218.68,less than 100 DM,critical account or other credits existing,critical account history,2,10,0.2747,0.0818,1,Good Credit
27,4525.25,less than 1 year,1924.0,149.64,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,18,0.3968,0.4252,0,Bad Credit
30,16628.64,1 to 4 years,2121.0,494.9,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.3571,0.1276,1,Good Credit
40,2747.92,1 to 4 years,701.0,81.78,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3571,0.2551,1,Good Credit
30,2504.88,1 to 4 years,639.0,74.55,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3571,0.2551,0,Bad Credit
34,10936.8,unemployed,1860.0,434.0,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.4762,0.1701,1,Good Credit
29,31840.9,1 to 4 years,3499.0,758.12,less than 100 DM,critical account or other credits existing,critical account history,2,12,0.2857,0.1099,0,Bad Credit
24,16104.08,4 to 7 years,8487.0,194.49,unknown or no savings account,existing credits paid back duly till now,paid current credits on time,1,48,0.1449,0.527,1,Good Credit
29,8999.01,1 to 4 years,6887.0,267.83,less than 100 DM,delay in paying off in the past,past payment delay,1,36,0.3571,0.7653,0,Bad Credit
27,21057.41,less than 1 year,2708.0,433.28,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,15,0.2469,0.1286,1,Good Credit
47,10369.71,1 to 4 years,1984.0,308.62,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,18,0.3571,0.1913,1,Good Credit
21,12598.85,4 to 7 years,10144.0,202.88,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,60,0.1932,0.8052,1,Good Credit
38,12638.08,7 or more years,1240.0,289.33,unknown or no savings account,critical account or other credits existing,critical account history,2,12,0.2747,0.0981,1,Good Credit
27,41342.4,1 to 4 years,8613.0,765.6,1000 DM or more,delay in paying off in the past,past payment delay,2,27,0.2222,0.2083,1,Good Credit
66,3002.72,1 to 4 years,766.0,89.37,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3572,0.2551,0,Bad Credit
35,29514.78,4 to 7 years,2728.0,763.84,unknown or no savings account,critical account or other credits existing,critical account history,3,15,0.3106,0.0924,1,Good Credit
44,10157.4,1 to 4 years,1881.0,188.1,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2222,0.1852,1,Good Credit
27,6891.48,less than 1 year,709.0,141.8,1000 DM or more,existing credits paid back duly till now,paid current credits on time,1,6,0.2469,0.1029,1,Good Credit
30,5638.92,less than 1 year,4795.0,186.47,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.3968,0.8503,1,Good Credit
27,6907.91,1 to 4 years,3416.0,164.47,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,27,0.2857,0.4945,1,Good Credit
22,8863.2,1 to 4 years,2462.0,164.13,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.2222,0.2778,0,Bad Credit
23,4612.61,less than 1 year,2288.0,152.53,less than 100 DM,critical account or other credits existing,critical account history,1,21,0.3968,0.496,1,Good Credit
30,4018.88,4 to 7 years,3566.0,104.01,100 to 500 DM,all credits at this bank paid back duly,paid previous credits,1,48,0.3106,0.8873,1,Good Credit
39,29515.2,7 or more years,860.0,315.33,less than 100 DM,critical account or other credits existing,critical account history,2,6,0.1282,0.0291,1,Good Credit
51,6148.91,4 to 7 years,682.0,159.13,100 to 500 DM,critical account or other credits existing,critical account history,2,12,0.3106,0.1109,1,Good Credit
28,16292.03,1 to 4 years,5371.0,387.91,less than 100 DM,critical account or other credits existing,critical account history,2,36,0.2857,0.3297,1,Good Credit
46,10749.16,7 or more years,1582.0,246.09,1000 DM or more,critical account or other credits existing,critical account history,2,18,0.2747,0.1472,1,Good Credit
42,18897.84,7 or more years,1346.0,269.2,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.1709,0.0712,1,Good Credit
38,15238.08,1 to 4 years,1924.0,211.64,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,10,0.1667,0.1263,1,Good Credit
24,7641.39,1 to 4 years,5848.0,227.42,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.3571,0.7653,1,Good Credit
29,27230.58,7 or more years,7758.0,387.9,1000 DM or more,critical account or other credits existing,critical account history,1,24,0.1709,0.2849,1,Good Credit
36,15703.62,4 to 7 years,6967.0,406.41,100 to 500 DM,delay in paying off in the past,past payment delay,1,24,0.3106,0.4437,1,Good Credit
20,6922.8,1 to 4 years,1282.0,128.2,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2222,0.1852,0,Bad Credit
48,20316.05,7 or more years,1288.0,372.09,100 to 500 DM,critical account or other credits existing,critical account history,2,9,0.2198,0.0634,1,Good Credit
45,1727.54,7 or more years,339.0,39.55,less than 100 DM,all credits at this bank paid back duly,paid previous credits,1,12,0.2747,0.1962,1,Good Credit
38,21809.52,4 to 7 years,3512.0,351.2,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,2,24,0.1932,0.161,1,Good Credit
34,50107.2,1 to 4 years,1898.0,695.93,unknown or no savings account,critical account or other credits existing,critical account history,2,6,0.1667,0.0379,1,Good Credit
36,8493.94,7 or more years,2872.0,155.57,100 to 500 DM,critical account or other credits existing,critical account history,1,24,0.2198,0.3381,1,Good Credit
30,4962.72,less than 1 year,1055.0,164.11,less than 100 DM,critical account or other credits existing,critical account history,2,18,0.3968,0.2126,1,Good Credit
36,9102.55,4 to 7 years,1262.0,235.57,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,2,15,0.3106,0.1386,1,Good Credit
70,35516.88,unemployed,7308.0,876.96,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,10,0.2963,0.2058,1,Good Credit
36,1544.09,7 or more years,909.0,35.35,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,36,0.2747,0.5887,1,Good Credit
32,39309.6,1 to 4 years,2978.0,545.97,500 to 1000 DM,existing credits paid back duly till now,paid current credits on time,1,6,0.1667,0.0758,1,Good Credit
33,2216.76,unemployed,1131.0,87.97,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,18,0.4762,0.5102,0,Bad Credit
20,6069.44,less than 1 year,1577.0,200.71,1000 DM or more,existing credits paid back duly till now,paid current credits on time,1,11,0.3968,0.2598,1,Good Credit
25,12333.06,4 to 7 years,3972.0,198.6,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,24,0.1932,0.3221,1,Good Credit
31,9860.76,7 or more years,1935.0,225.75,less than 100 DM,critical account or other credits existing,critical account history,2,24,0.2747,0.1962,0,Bad Credit
33,7745.92,7 or more years,950.0,177.33,less than 100 DM,no credits taken or all paid back duly,no prior payment record,2,15,0.2747,0.1226,0,Bad Credit
26,2990.96,1 to 4 years,763.0,89.02,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3572,0.2551,1,Good Credit
34,3521.7,unemployed,2064.0,111.8,less than 100 DM,delay in paying off in the past,past payment delay,1,24,0.381,0.5861,0,Bad Credit
33,8314.32,1 to 4 years,1414.0,247.45,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,8,0.3571,0.1701,1,Good Credit
26,18962.33,less than 1 year,3414.0,390.17,less than 100 DM,delay in paying off in the past,past payment delay,2,21,0.2469,0.18,0,Bad Credit
53,8802.36,unemployed,7485.0,349.3,unknown or no savings account,all credits at this bank paid back duly,paid previous credits,1,30,0.4762,0.8503,0,Bad Credit
42,13915.8,1 to 4 years,2577.0,257.7,less than 100 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.2222,0.1852,1,Good Credit
52,6889.79,7 or more years,338.0,157.73,500 to 1000 DM,critical account or other credits existing,critical account history,2,6,0.2747,0.0491,1,Good Credit
31,17698.41,4 to 7 years,1963.0,458.03,less than 100 DM,existing credits paid back duly till now,paid current credits on time,2,12,0.3106,0.1109,1,Good Credit
65,3325.5,7 or more years,571.0,76.13,less than 100 DM,critical account or other credits existing,critical account history,2,21,0.2747,0.1717,1,Good Credit
28,37905.12,less than 1 year,9572.0,584.96,less than 100 DM,delay in paying off in the past,past payment delay,2,36,0.1852,0.2525,0,Bad Credit
30,16038.0,1 to 4 years,4455.0,297.0,less than 100 DM,delay in paying off in the past,past payment delay,2,36,0.2222,0.2778,0,Bad Credit
40,7378.56,1 to 4 years,1647.0,219.6,unknown or no savings account,all credits at this bank paid back duly,paid previous credits,2,21,0.3571,0.2232,0,Bad Credit
50,7402.92,1 to 4 years,3777.0,220.32,1000 DM or more,critical account or other credits existing,critical account history,1,24,0.3571,0.5102,1,Good Credit
36,3003.24,7 or more years,884.0,68.76,less than 100 DM,critical account or other credits existing,critical account history,1,18,0.2747,0.2943,0,Bad Credit
31,8529.92,1 to 4 years,1360.0,253.87,less than 100 DM,critical account or other credits existing,critical account history,2,15,0.3571,0.1594,1,Good Credit
74,48007.44,7 or more years,5129.0,683.87,less than 100 DM,all credits at this bank paid back duly,paid previous credits,1,9,0.1709,0.1068,0,Bad Credit
68,10707.19,unemployed,1175.0,264.38,less than 100 DM,critical account or other credits existing,critical account history,3,16,0.2963,0.1097,1,Good Credit
20,3038.39,4 to 7 years,674.0,78.63,100 to 500 DM,existing credits paid back duly till now,paid current credits on time,1,12,0.3105,0.2218,0,Bad Credit
33,28547.2,1 to 4 years,3244.0,396.49,less than 100 DM,no credits taken or all paid back duly,no prior payment record,2,18,0.1667,0.1136,1,Good Credit
54,37187.1,1 to 4 years,4591.0,688.65,1000 DM or more,existing credits paid back duly till now,paid current credits on time,3,24,0.2222,0.1235,0,Bad Credit
34,4332.19,4 to 7 years,3844.0,112.12,100 to 500 DM,no credits taken or all paid back duly,no prior payment record,1,48,0.3106,0.8873,0,Bad Credit
